Game,Error,Hash,Extra
gba1\Ace Lightning (E)(Mode7).zip,hash not found,,
gba1\Advance GT2 (J)(Eurasia).zip,hash not found,,
gba1\Activision Anthology (U)(Eurasia).zip,hash not found,,
gba1\ATV - Thunder Ridge Riders (U)(Sir VG).zip,hash not found,,
gba1\Agassi Tennis Generation 2002 (E)(Mode7).zip,hash not found,,
gba1\AirForce Delta II (J)(Independent).zip,hash not found,,
gba1\AirForce Delta Storm (U)(Mode7).zip,hash not found,,
gba1\Akachan Doubutsuen (J)(Caravan).zip,hash not found,,
gba1\Animal Mania (J)(Rapid Fire).zip,hash not found,,
gba1\Around The World In 80 Days (U)(Venom).zip,hash not found,,
gba1\Astro Boy - Tetsuwan Atom (J)(Eurasia).zip,hash not found,,
gba1\Atari Anniversary Advance (U)(Mode7).zip,hash not found,,
gba1\Arthur And The Minimoys (E)(FireX).zip,hash not found,,
gba1\Atlantis - The Lost Empire (U)(Eurasia).zip,hash not found,,
gba1\Bakuten Shoot Beyblade - Gekitou! Saikyou Blade (J)(Independent).zip,hash not found,,
gba1\Baseball Advance (U)(Mode7).zip,hash not found,,
gba1\Batman Rise of Sin Tzu (U)(Eurasia).zip,hash not found,,
gba1\Battle Network RockMan EXE (J)(Eurasia).zip,hash not found,,
gba1\Battle X Battle - Kyoudai Ou Densetsu (J)(Rising Sun).zip,hash not found,,
gba1\Blender Bros. (U)(Mode7).zip,hash not found,,
gba1\Bokura no Taiyo (J)(Eurasia).zip,hash not found,,
gba1\Bomberman Jetters (J)(Eurasia).zip,hash not found,,
gba1\Bomberman Jetters Game Collection (J)(Eurasia).zip,hash not found,,
gba1\Bomberman Max 2 - Max Version (J)(Hyperion).zip,hash not found,,
gba1\Bouken Yuuki Densetsu Plaston Gate (J)(Rising Sun).zip,hash not found,,
gba1\Bouken Yuuki Plaston GP (J)(Rising Sun).zip,hash not found,,
gba1\Boukyaku no Senritsu (J)(Independent).zip,hash not found,,
gba1\Breath of Fire (U)(Mode7).zip,hash not found,,
gba1\Breath of Fire 2 (U)(Mode7).zip,hash not found,,
gba1\Breath of Fire 2 - Shimei no Ko (J)(Eurasia).zip,hash not found,,
gba1\CIMA The Enemy (U)(Mode7).zip,hash not found,,
gba1\Caesar's Palace Advance - Millennium Gold Edition (U)(Mode7).zip,hash not found,,
gba1\Cartoon Network Collection - Platinum Edition (U).gba,hash not found,,
gba1\Castlevania - Minuet Of Dawn (J)(Eurasia).zip,hash not found,,
gba1\Cartoon Network Collection Platinum Edition - Gameboy Advance Video (U)(Supplex).zip,hash not found,,
gba1\Chocobo Land - Game de Dice (J)(Mugs).zip,hash not found,,
gba1\Choh Makai-Mura R (J)(Eurasia).zip,hash not found,,
gba1\Crash Bandicoot Advance (J)(Independent).zip,hash not found,,
gba1\Cinnamon - Yume no Daibouken (J)(Caravan).zip,hash not found,,
gba1\Cinnamon Fuwafuwa Daisakusen (J)(sUppLeX).zip,hash not found,,
gba1\Crash Bandicoot Fusion (E)(Rising Sun).zip,hash not found,,
gba1\Crayon Shin-Chan - Arashi no Yobu Cinema-Land no Daibouken! (J)(TrashMan).zip,hash not found,,
gba1\Crouching Tiger Hidden Dragon (U)(Eurasia).zip,hash not found,,
gba1\Custom Robo GX (J)(Eurasia).zip,hash not found,,
gba1\Dan Doh!! Xi (J)(Eurasia).zip,hash not found,,
gba1\Dark Arena (U)(Eurasia).zip,hash not found,,
gba1\Densetsu no Stafi 2 (J)(Eurasia).zip,hash not found,,
gba1\Densetsu no Stafy (J)(Eurasia).zip,hash not found,,
gba1\DiGi Charat DigiCommunication (J)(Chakky).zip,hash not found,,
gba1\Deutschland sucht den Superstar (G)(Rising Sun).zip,hash not found,,
gba1\Disney's Brother Bear (U)(Eurasia).zip,hash not found,,
gba1\Digimon Battle Spirit (U)(Noitami).zip,hash not found,,
gba1\Disney's Magical Quest Starring Mickey and Minnie (U)(Eurasia).zip,hash not found,,
gba1\Doraemon Board Game (J)(Rapid Fire).zip,hash not found,,
gba1\Downforce (U)(Mode7).zip,hash not found,,
gba1\Dr. Muto (E)(Eurasia).zip,hash not found,,
gba1\Dr. Seuss' - The Cat in the Hat (U)(Eurasia).zip,hash not found,,
gba1\Dragon Ball Z - Collectible Card Game (U)(Mode7).zip,hash not found,,
gba1\Dragon Quest - Torneko's Adventure 2 Advance (J)(Eurasia).zip,hash not found,,
gba1\Dragon Tales - Dragon Adventures (U)(Chameleon).zip,hash not found,,
gba1\Droopys Tennis Open (E)(Eurasia).zip,hash not found,,
gba1\Duel Masters (J)(Rising Sun).zip,hash not found,,
gba1\Duel Masters 2 (J)(Rising Sun).zip,hash not found,,
gba1\ESPN Final Round Golf (E)(Paracox).zip,hash not found,,
gba1\ESPN Great Outdoor Games - Bass 2002 (U)(Mode7).zip,hash not found,,
gba1\ESPN Great Outdoor Games - Bass Tournament (E)(Lightforce).zip,hash not found,,
gba1\ESPN International - Winter Sports 2002 (U)(Mode7).zip,hash not found,,
gba1\ESPN Winter X-Games - Snowboarding 2002 (U)(Mode7).zip,hash not found,,
gba1\EZ-Talk 1 (J)(Cezar).zip,hash not found,,
gba1\Estopolis Densetsu (J)(Eurasia).zip,hash not found,,
gba1\EZ-Talk 2 (J)(Cezar).zip,hash not found,,
gba1\Fairly Oddparents - Clash with the Anti-World (E)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 10 - Star Soldier (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 2 - Donkey Kong (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 30 - SD Gundam World Gachapon Senshi - Scramble Wars (J)(Caravan).zip,hash not found,,
gba1\Famicom Mini - Vol 4 - Excite Bike (J)(Independent).zip,hash not found,,
gba1\Famicom Mini - Vol 5 - Zelda no Densetsu (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 6 - Pacman (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 7 - Xevious (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 8 - Mappy (J)(Rising Sun).zip,hash not found,,
gba1\Famicom Mini - Vol 9 - Bomberman (J)(Rising Sun).zip,hash not found,,
gba1\Family Tennis Advance (J)(Eurasia).zip,hash not found,,
gba1\Fear Factor - Unleashed (U)(Rising Sun).zip,hash not found,,
gba1\Finding Nemo (U)(Mode7).zip,hash not found,,
gba1\Finding Nemo - Arata na Bouken (J)(Caravan).zip,hash not found,,
gba1\Flame of Recca (J)(Eurasia).zip,hash not found,,
gba1\Formation Soccer 2002 (J)(Rapid Fire).zip,hash not found,,
gba1\Frogger Advance - The Great Quest (U)(Mode7).zip,hash not found,,
gba1\Frogger's Journey - The Forgotten Relic (U)(Mode7).zip,hash not found,,
gba1\GBADev 2004Mbit Competition (U)(GBADev.org).zip,hash not found,,
